id,name,description,thumbnail,price,rating,priceDiscount
1,Paula Varga,Environmental Specialist,http://dummyimage.com/85x62.png/5fa2dd/ffffff,9301,3,123
2,Enriqueta Guiducci,Staff Accountant III,http://dummyimage.com/56x99.png/5fa2dd/ffffff,1933,4,82
3,Charleen Kubista,Community Outreach Specialist,http://dummyimage.com/51x100.png/ff4444/ffffff,3673,3,55
4,Georges Shitliffe,Environmental Tech,http://dummyimage.com/56x91.png/dddddd/000000,3812,5,160
5,Alphard Sushams,Help Desk Operator,http://dummyimage.com/106x55.png/dddddd/000000,9918,2,218
6,Marv Levensky,Nuclear Power Engineer,http://dummyimage.com/72x84.png/5fa2dd/ffffff,6479,5,70
7,Wait Poulter,Engineer IV,http://dummyimage.com/117x56.png/ff4444/ffffff,4218,5,91
8,Roger Roussell,Senior Developer,http://dummyimage.com/103x79.png/cc0000/ffffff,3106,4,60
9,Barby Martinot,Professor,http://dummyimage.com/106x65.png/cc0000/ffffff,1473,5,50
10,Amalea Rambaut,Occupational Therapist,http://dummyimage.com/85x84.png/ff4444/ffffff,7465,1,96
11,Renelle Pexton,Analog Circuit Design manager,http://dummyimage.com/97x95.png/dddddd/000000,1537,2,87
12,Conrade Antrum,Teacher,http://dummyimage.com/124x85.png/ff4444/ffffff,6358,4,63
13,Kort Flecknoe,Account Executive,http://dummyimage.com/58x95.png/dddddd/000000,8318,2,187
14,Maure MacRory,Analog Circuit Design manager,http://dummyimage.com/59x50.png/cc0000/ffffff,9845,4,116
15,Karisa Benoiton,Web Developer II,http://dummyimage.com/89x53.png/cc0000/ffffff,9461,2,59
16,Jase McOrkill,Statistician II,http://dummyimage.com/87x93.png/5fa2dd/ffffff,8608,1,196
17,Tristam Thies,Physical Therapy Assistant,http://dummyimage.com/63x82.png/ff4444/ffffff,3620,3,95
18,Ellsworth Baum,Analog Circuit Design manager,http://dummyimage.com/77x57.png/dddddd/000000,2492,3,132
19,Hagen Kennan,Programmer Analyst III,http://dummyimage.com/93x58.png/ff4444/ffffff,4738,2,84
20,Guthrey Huban,Recruiting Manager,http://dummyimage.com/57x86.png/dddddd/000000,5631,3,273
21,Dino Hymor,Structural Engineer,http://dummyimage.com/108x98.png/5fa2dd/ffffff,5967,3,299
22,Nickie Beneyto,Operator,http://dummyimage.com/53x85.png/dddddd/000000,9047,5,120
23,Lucio Tidbold,Occupational Therapist,http://dummyimage.com/54x65.png/dddddd/000000,4747,5,205
24,Avram Davies,Accounting Assistant IV,http://dummyimage.com/87x99.png/5fa2dd/ffffff,5603,5,164
25,Cyb Pidgin,Registered Nurse,http://dummyimage.com/107x85.png/ff4444/ffffff,1117,1,214
26,Cloris Elster,Financial Analyst,http://dummyimage.com/67x78.png/ff4444/ffffff,2013,4,283
27,Bentlee Phillipson,Payment Adjustment Coordinator,http://dummyimage.com/74x61.png/cc0000/ffffff,2278,1,173
28,Henka Harrowing,Research Assistant II,http://dummyimage.com/114x55.png/5fa2dd/ffffff,3391,4,55
29,Manda Sutherns,Budget/Accounting Analyst IV,http://dummyimage.com/90x84.png/cc0000/ffffff,7847,3,53
30,Brose Mongeot,Actuary,http://dummyimage.com/96x85.png/cc0000/ffffff,5250,3,286
